filename,predicted_code,predicted_char,confidence,true_code,is_correct
synth_161_angsana_formal.png,161,ก,99.98%,161,True
synth_161_cordia_classic.png,161,ก,99.99%,161,True
synth_161_leelawadee_bold.png,164,ค,57.21%,161,False
synth_161_leelawadee_modern.png,161,ก,99.46%,161,True
synth_161_tahoma_slant.png,161,ก,96.33%,161,True
synth_161_tahoma_std.png,161,ก,99.82%,161,True
synth_162_angsana_formal.png,162,ข,99.47%,162,True
synth_162_cordia_classic.png,162,ข,99.67%,162,True
synth_162_leelawadee_bold.png,162,ข,99.16%,162,True
synth_162_leelawadee_modern.png,162,ข,99.47%,162,True
synth_162_tahoma_slant.png,162,ข,99.72%,162,True
synth_162_tahoma_std.png,162,ข,99.85%,162,True
synth_163_angsana_formal.png,163,ฃ,55.63%,163,True
synth_163_cordia_classic.png,162,ข,38.78%,163,False
synth_163_leelawadee_bold.png,178,ฒ,64.63%,163,False
synth_163_leelawadee_modern.png,163,ฃ,56.09%,163,True
synth_163_tahoma_slant.png,163,ฃ,89.39%,163,True
synth_163_tahoma_std.png,163,ฃ,84.67%,163,True
synth_164_angsana_formal.png,164,ค,98.70%,164,True
synth_164_cordia_classic.png,164,ค,93.02%,164,True
synth_164_leelawadee_bold.png,164,ค,98.77%,164,True
synth_164_leelawadee_modern.png,164,ค,96.14%,164,True
synth_164_tahoma_slant.png,164,ค,97.11%,164,True
synth_164_tahoma_std.png,164,ค,98.68%,164,True
synth_167_angsana_formal.png,167,ง,99.99%,167,True
synth_167_cordia_classic.png,167,ง,99.95%,167,True
synth_167_leelawadee_bold.png,167,ง,100.00%,167,True
synth_167_leelawadee_modern.png,167,ง,100.00%,167,True
synth_167_tahoma_slant.png,167,ง,100.00%,167,True
synth_167_tahoma_std.png,167,ง,99.95%,167,True
synth_168_angsana_formal.png,168,จ,99.68%,168,True
synth_168_cordia_classic.png,168,จ,80.84%,168,True
synth_168_leelawadee_bold.png,168,จ,49.09%,168,True
synth_168_leelawadee_modern.png,168,จ,58.80%,168,True
synth_168_tahoma_slant.png,168,จ,63.67%,168,True
synth_168_tahoma_std.png,168,จ,54.68%,168,True
synth_169_angsana_formal.png,169,ฉ,99.80%,169,True
synth_169_cordia_classic.png,169,ฉ,83.46%,169,True
synth_169_leelawadee_bold.png,169,ฉ,99.74%,169,True
synth_169_leelawadee_modern.png,169,ฉ,99.67%,169,True
synth_169_tahoma_slant.png,169,ฉ,99.29%,169,True
synth_169_tahoma_std.png,169,ฉ,99.92%,169,True
synth_170_angsana_formal.png,170,ช,99.97%,170,True
